,id,tags,category,view,likes,comments,Title,datePublished
371,Oxiu3U_npfs,"['Beauty', 'Curiosity', 'Health', 'Italian', 'Positive Thinking', 'Self improvement', 'TEDxTalks', '[TEDxEID:48290]']",29,287,7,0,La pelle che abito o l'abito pelle? | Anna Chiara Cortese | TEDxBelluno,2022-07-01T14:36:27Z
372,RuoaTtD6eqs,"['Life', 'Sports', 'TEDxTalks', 'Turkish', '[TEDxEID:50323]']",29,231,2,0,Halil Mutlu (Dinamo) | Halil Mutlu | TEDxYeniYolSchools,2022-07-01T14:35:44Z
373,-PNJP5Vp-Zo,"['Career', 'Entertainment', 'TEDxTalks', 'Turkish', '[TEDxEID:50323]']",29,122,2,0,En Sevdiğim Gün Pazartesi | Ömer Öztürk | TEDxYeniYolSchools,2022-07-01T14:35:26Z
374,21g-Pt_nsIg,"['Business', 'TEDxTalks', 'Turkish', '[TEDxEID:50323]']",29,80,3,0,İçimdeki Girişimci | Ayşe Avcı | TEDxYeniYolSchools,2022-07-01T14:35:20Z
375,ajs_HJMHVnU,"['Health', 'TEDxTalks', 'Turkish', '[TEDxEID:50323]']",29,953,65,16,SMA Teşhisinden Doktorada SMA Çalışmaya | Ayça Şahin | TEDxYeniYolSchools,2022-07-01T14:34:58Z
376,BwOHopxizCc,"['Art', 'TEDxTalks', 'Turkish', '[TEDxEID:50323]']",29,78,3,0,Limit ve Limitsizlik | Aybars Yücel | TEDxYeniYolSchools,2022-07-01T14:34:11Z
377,j7-juPrexFs,"['Diversity', 'Life', 'Motivation', 'Parenting', 'Spanish', 'TEDxTalks', '[TEDxEID:40432]']",29,66,0,0,Maternidad y acondroplasia: disfrutando el viaje | Mariana Molina | TEDxHumaya,2022-07-01T14:30:38Z
378,Vu5ojlqIbfk,"['Consciousness', 'Empowerment', 'Humanities', 'Passion', 'Spanish', 'TEDxTalks', 'Women', '[TEDxEID:40432]']",29,153,4,2,"Muerta de risa, no muerta | Emma Ramos | TEDxHumaya",2022-07-01T14:29:37Z
379,7ysLJ2G2u4I,"['Education', 'English', 'Health', 'Innovation', 'TEDxTalks', 'Technology', '[TEDxEID:46065]']",29,18768,498,93,Bridge the gap: Let nurses innovate! | Ben Gran | TEDxOulu,2022-06-30T17:00:03Z
380,v0B2EwLxm_k,"['Art', 'Entertainment', 'Italian', 'Music (performance)', 'TEDxTalks', 'Youth', '[TEDxEID:49574]']",29,3339,77,5,Micro Concerto | Frida Bollani Magoni | TEDxMilano,2022-06-30T16:57:36Z
